station_name,longitude,latitude
14th Street–Union Square station,-73.99027777777778,40.73472222222223
14th Street–Union Square station,-73.99027777777778,40.73472222222223
18th Street station (IRT Broadway–Seventh Avenue Line),-73.99805555555554,40.74111111111111
23rd Street station (IND Sixth Avenue Line),-73.99277777777776,40.743055555555564
23rd Street station (IND Eighth Avenue Line),-73.99861111111113,40.74527777777778
23rd Street station (BMT Broadway Line),-73.98916666666666,40.741388888888885
23rd Street station (IRT Broadway–Seventh Avenue Line),-73.99611111111109,40.74388888888889
23rd Street station (IRT Lexington Avenue Line),-73.9863888888889,40.740277777777784
28th Street station (BMT Broadway Line),-73.98888888888891,40.74527777777778
28th Street station (IRT Broadway–Seventh Avenue Line),-73.99305555555556,40.74694444444445
28th Street station (IRT Lexington Avenue Line),-73.98416666666667,40.74333333333333
33rd Street station (IRT Lexington Avenue Line),-73.98194444444445,40.74638888888889
34th Street–Herald Square station,-73.98805555555556,40.749444444444435
34th Street–Herald Square station,-73.98805555555556,40.749444444444435
34th Street–Hudson Yards station,-74.0019611111111,40.75583888888889
34th Street–Penn Station (IND Eighth Avenue Line),-73.99361111111111,40.752222222222215
34th Street–Penn Station (IRT Broadway–Seventh Avenue Line),-73.99111111111111,40.751111111111115
42nd Street–Bryant Park/Fifth Avenue station,-73.98416666666667,40.75472222222222
Times Square–42nd Street/Port Authority Bus Terminal station,-73.987,40.756
47th–50th Streets–Rockefeller Center station,-73.98138888888889,40.758611111111115
49th Street station (BMT Broadway Line),-73.98388888888887,40.76055555555556
50th Street station (IND lines),-73.9861111111111,40.76222222222222
50th Street station (IRT Broadway–Seventh Avenue Line),-73.98388888888887,40.76111111111111
Lexington Avenue/51st Street station,-73.97194444444446,40.756944444444436
57th Street station (IND Sixth Avenue Line),-73.97722222222222,40.76416666666667
57th Street–Seventh Avenue station,-73.98,40.765555555555565
Lexington Avenue/59th Street station,-73.96777777777778,40.7625
59th Street–Columbus Circle station,-73.98194444444445,40.76805555555556
59th Street–Columbus Circle station,-73.98194444444445,40.76805555555556
66th Street–Lincoln Center station,-73.98194444444445,40.77388888888889
68th Street–Hunter College station,-73.96416666666667,40.76777777777777
72nd Street station (Second Avenue Subway),-73.95833333333334,40.76888888888889
72nd Street station (IND Eighth Avenue Line),-73.97611111111111,40.77611111111111
72nd Street station (IRT Broadway–Seventh Avenue Line),-73.98194444444445,40.778888888888886
77th Street station (IRT Lexington Avenue Line),-73.96000000000002,40.77361111111111
79th Street station (IRT Broadway–Seventh Avenue Line),-73.98,40.78388888888889
81st Street–Museum of Natural History station,-73.97166666666666,40.781944444444434
86th Street station (Second Avenue Subway),-73.95175,40.777861111111115
86th Street station (IND Eighth Avenue Line),-73.96944444444446,40.78527777777778
86th Street station (IRT Broadway–Seventh Avenue Line),-73.97638888888889,40.78833333333333
86th Street station (IRT Lexington Avenue Line),-73.95555555555556,40.77944444444445
96th Street station (Second Avenue Subway),-73.94722222222222,40.78416666666666
96th Street station (IND Eighth Avenue Line),-73.96472222222222,40.79166666666666
96th Street station (IRT Broadway–Seventh Avenue Line),-73.97194444444446,40.794166666666655
96th Street station (IRT Lexington Avenue Line),-73.95083333333334,40.78583333333333
103rd Street station (IND Eighth Avenue Line),-73.96138888888889,40.79611111111111
103rd Street station (IRT Broadway–Seventh Avenue Line),-73.96805555555554,40.79944444444444
103rd Street station (IRT Lexington Avenue Line),-73.9477777777778,40.790277777777774
110th Street station (IRT Lexington Avenue Line),-73.94444444444444,40.79472222222222
116th Street station (IND Eighth Avenue Line),-73.95527777777778,40.804444444444435
116th Street station (IRT Lenox Avenue Line),-73.95,40.80194444444445
116th Street station (IRT Lexington Avenue Line),-73.94194444444446,40.798611111111114
116th Street–Columbia University station,-73.96388888888889,40.80805555555556
125th Street station (IND Eighth Avenue Line),-73.95277777777778,40.81083333333333
125th Street station (IRT Broadway–Seventh Avenue Line),-73.95805555555556,40.815
125th Street station (IRT Lenox Avenue Line),-73.94500000000002,40.80694444444444
125th Street station (IRT Lexington Avenue Line),-73.9375,40.80416666666667
135th Street station (IND Eighth Avenue Line),-73.94805555555557,40.81722222222223
135th Street station (IRT Lenox Avenue Line),-73.94111111111111,40.81388888888888
137th Street–City College station,-73.9538888888889,40.821111111111115
145th Street station (IND lines),-73.94472222222224,40.82416666666667
145th Street station (IRT Broadway–Seventh Avenue Line),-73.95,40.82611111111112
145th Street station (IRT Lenox Avenue Line),-73.93611111111113,40.820555555555565
155th Street station (IND Eighth Avenue Line),-73.94138888888891,40.830833333333345
155th Street station (IND Concourse Line),-73.93916666666667,40.83000000000001
157th Street station,-73.94388888888889,40.833888888888886
163rd Street–Amsterdam Avenue station,-73.94,40.83694444444445
168th Street station (New York City Subway),-73.93972222222223,40.84111111111111
168th Street station (New York City Subway),-73.93972222222223,40.84111111111111
175th Street station (IND Eighth Avenue Line),-73.94,40.84666666666667
181st Street station (IND Eighth Avenue Line),-73.93805555555556,40.85166666666667
181st Street station (IRT Broadway–Seventh Avenue Line),-73.93388888888889,40.8488888888889
190th Street station,-73.93388888888889,40.85888888888889
191st Street station,-73.92888888888889,40.855
207th Street station,-73.91888888888889,40.86444444444445
215th Street station,-73.915,40.869444444444454
Astor Place station,-73.99166666666667,40.72972222222222
Broadway–Lafayette Street/Bleecker Street station,-73.99472222222222,40.72583333333333
Bowery station,-73.99416666666667,40.72027777777778
Bowling Green station,-74.01444444444445,40.70416666666667
Broad Street station (BMT Nassau Street Line),-74.01083333333334,40.70694444444445
Broadway–Lafayette Street/Bleecker Street station,-73.99472222222222,40.72583333333333
